Time (s),Raw Altitude (m),Filtered Altitude (m),Speed (m/s),Z Acceleration (m/s^2),Events,Actions
-3.40,0.44,0.44,0.00,0.00,"",""
-3.35,0.36,0.42,-0.48,0.00,"",""
-3.30,0.59,0.47,1.03,30.14,"",""
-3.25,0.36,0.44,-0.62,-33.03,"",""
-3.20,0.44,0.44,0.02,12.89,"",""
-3.15,0.28,0.39,-0.94,-19.30,"",""
-3.10,0.20,0.33,-1.17,-4.59,"",""
-3.05,0.33,0.33,-0.08,21.86,"",""
-3.00,0.22,0.29,-0.72,-12.69,"",""
-2.95,0.28,0.28,-0.16,11.07,"",""
-2.90,0.40,0.31,0.61,15.36,"",""
-2.85,0.30,0.31,-0.15,-15.11,"",""
-2.80,0.00,0.21,-1.91,-35.13,"",""
-2.75,0.31,0.23,0.46,47.38,"",""
-2.70,0.23,0.23,-0.13,-11.91,"",""
-2.65,0.21,0.22,-0.21,-1.58,"",""
-2.60,0.16,0.19,-0.45,-4.76,"",""
-2.55,0.03,0.14,-1.11,-13.10,"",""
-2.50,0.22,0.16,0.33,28.78,"",""
-2.45,0.27,0.18,0.55,4.39,"",""
-2.40,0.13,0.16,-0.43,-19.59,"",""
-2.35,0.16,0.16,-0.13,5.97,"",""
-2.30,0.28,0.19,0.63,15.20,"",""
-2.25,0.48,0.27,1.67,20.77,"",""
-2.20,0.43,0.32,0.93,-14.76,"",""
-2.15,0.33,0.32,0.09,-16.91,"",""
-2.10,0.34,0.33,0.12,0.73,"",""
-2.05,0.13,0.27,-1.17,-25.86,"",""
-2.00,0.21,0.25,-0.38,15.79,"",""
-1.95,0.10,0.20,-0.94,-11.15,"",""
-1.90,0.14,0.18,-0.45,9.81,"",""
-1.85,0.12,0.16,-0.45,0.04,"",""
-1.80,0.26,0.18,0.52,19.24,"",""
-1.75,0.10,0.16,-0.58,-21.84,"",""
-1.70,0.11,0.14,-0.36,4.32,"",""
-1.65,0.17,0.14,0.10,9.19,"",""
-1.60,0.22,0.16,0.38,5.57,"",""
-1.55,0.30,0.20,0.76,7.68,"",""
-1.50,0.11,0.17,-0.58,-26.77,"",""
-1.45,0.39,0.23,1.26,36.69,"",""
-1.40,0.44,0.29,1.23,-0.61,"",""
-1.35,0.29,0.29,0.00,-24.50,"",""
-1.30,0.39,0.33,0.60,11.95,"",""
-1.25,0.42,0.36,0.62,0.39,"",""
-1.20,0.39,0.37,0.27,-6.94,"",""
