#version,serial,flight,time,state,state_name,acceleration,height,speed,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro
6, 12779, 1,    -0.30, 3,   boost,  -19.64,    0.00,    0.00, 0.00, 0.01, 2.76,  -9.74,  -0.68,  -1.02,   0.36,   0.46,   0.18,  -0.54,   0.09,   0.00,   7.29,-5.59
6, 12779, 1,    -0.29, 3,   boost,  -19.66,    0.00,    0.00, 0.00, 0.01, 2.76,  -9.76,  -0.73,  -1.06,  -0.07,   0.03,  -0.07,  -0.54,   0.09,   0.00,   7.29,-5.59
6, 12779, 1,    -0.28, 3,   boost,  -19.67,    0.00,    0.00, 0.00, 0.01, 2.75,  -9.77,  -0.73,  -1.04,   0.12,   0.15,  -0.13,  -0.54,   0.09,   0.01,   7.29,-5.59
6, 12779, 1,    -0.27, 3,   boost,  -19.69,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.79,  -0.73,  -1.03,   0.12,  -0.15,   0.18,  -0.54,   0.09,   0.00,   7.29,-5.59
6, 12779, 1,    -0.26, 3,   boost,  -19.66,    0.00,    0.00, 0.00, 0.02, 2.75,  -9.76,  -0.76,  -1.03,   0.18,   0.21,   0.05,  -0.54,   0.09,   0.00,   7.29,-5.59
6, 12779, 1,    -0.25, 3,   boost,  -19.68,    0.00,    0.00, 0.00, 0.01, 2.75,  -9.78,  -0.73,  -1.07,  -0.31,  -0.09,  -0.25,  -0.54,   0.10,   0.01,   7.29,-5.59
6, 12779, 1,    -0.24, 3,   boost,  -19.66,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.76,  -0.73,  -1.04,  -0.31,   0.09,  -0.01,  -0.54,   0.09,   0.01,   7.29,-5.59
6, 12779, 1,    -0.23, 3,   boost,  -19.66,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.76,  -0.70,  -1.03,   0.24,   0.27,  -0.31,  -0.54,   0.09,   0.00,   7.29,-5.59
6, 12779, 1,    -0.22, 3,   boost,  -19.67,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.77,  -0.70,  -0.96,   0.42,   0.15,  -0.13,  -0.54,   0.10,   0.00,   7.29,-5.59
6, 12779, 1,    -0.21, 3,   boost,  -19.67,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.77,  -0.66,  -0.99,  -0.13,   0.03,  -0.19,  -0.54,   0.09,   0.00,   7.29,-5.59
6, 12779, 1,    -0.20, 3,   boost,  -19.70,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.80,  -0.71,  -0.98,  -0.43,  -0.09,  -0.25,  -0.54,   0.10,   0.00,   7.29,-5.59
6, 12779, 1,    -0.19, 3,   boost,  -19.68,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.78,  -0.65,  -0.97,   0.05,  -0.09,  -0.13,  -0.53,   0.10,  -0.00,   7.29,-5.59
6, 12779, 1,    -0.18, 3,   boost,  -19.63,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.73,  -0.65,  -0.98,  -0.01,  -0.27,  -0.25,  -0.53,   0.10,  -0.00,   7.29,-5.59
6, 12779, 1,    -0.17, 3,   boost,  -19.66,    0.00,    0.00, 0.00, 0.01, 2.75,  -9.76,  -0.62,  -1.03,  -0.56,   0.21,  -0.19,  -0.53,   0.10,  -0.00,   7.29,-5.59
6, 12779, 1,    -0.16, 3,   boost,  -19.65,    0.00,    0.00, 0.00, 0.00, 2.75,  -9.75,  -0.60,  -1.06,   0.36,  -0.76,  -0.19,  -0.54,   0.10,   0.00,   7.29,-5.59
