# maciexl-2-or (Data loaded from a file)
# 522 data points written for 58 variables.
#
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (mm),CG location (mm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (mm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90.012,0,0,0,90.012,0,4338,616,0.482,0.003,9.792,NaN,947,NaN,0,0,0,0.786,0.515,0.209,0.062,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04,90.012,15,1013,0.001,340.389,0.006,2.208e5,79,50,0.01,0.002,0
0.01,6.148e-4,6.148e-4,0.073,0.073,21.038,21.038,-1.419e-6,0,1.419e-6,269.978,1.082e-4,0.013,28.61,-80.6,87.949,0,0,0,90.012,0,4338,615,0.482,0.003,9.792,NaN,947,NaN,133.725,3.148,1.077e-6,0.786,0.515,0.209,0.062,8.645e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.043,90.012,15,1013,0.001,340.389,0.006,2.213e5,79,50,0.01,0.003,9.287e-6
0.02,0.007,0.007,0.437,0.437,51.881,51.881,-7.123e-6,0,7.123e-6,269.978,2.405e-4,0.014,28.61,-80.6,77.922,0,0,0,90.012,0,4337,614,0.482,0.003,9.792,NaN,947,NaN,267.45,6.298,2.097e-4,0.783,0.512,0.209,0.062,0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.047,90.012,15,1013,0.001,340.389,0.006,2.265e5,79,50,0.005,0.004,5.597e-5
0.025,0.016,0.016,0.735,0.735,67.307,67.307,-1.164e-5,0,1.164e-5,269.978,3.109e-4,0.015,28.61,-80.6,70.245,0,0,0,90.012,0,4336,614,0.481,0.003,9.792,NaN,947,NaN,334.313,7.874,9.006e-4,0.779,0.508,0.209,0.062,0.064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.048,90.012,15,1013,0.001,340.389,0.006,2.355e5,79,50,0.008,0.005,9.412e-5
0.033,0.043,0.043,1.256,1.256,71.497,71.497,-2.072e-5,0,2.072e-5,269.978,4.307e-4,0.018,28.61,-80.6,58.499,0,0,0,90.012,0,4335,613,0.481,0.003,9.792,NaN,947,NaN,352.366,8.302,0.004,0.767,0.496,0.209,0.062,0.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.051,90.012,15,1013,0.001,340.389,0.007,2.602e5,79,50,0.01,0.006,1.608e-4
# Event LIFTOFF occurred at t=0.043 seconds
0.043,0.095,0.095,1.999,1.999,77.088,77.088,-3.806e-5,0,3.806e-5,269.978,6.368e-4,0,28.61,-80.6,45.779,0,0,0,90.012,0,4333,611,0.481,0.003,9.792,NaN,946,NaN,376.436,8.873,0.012,0.748,0.477,0.209,0.062,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.054,90.012,15,1013,0.001,340.389,0.008,3.102e5,79,50,0.008,0.007,2.559e-4
0.05,0.151,0.151,2.592,2.592,81.284,81.284,-5.371e-5,0,5.371e-5,269.978,6.368e-4,0,28.61,-80.6,38.445,0,0,0,90.012,0,4331,609,0.48,0.003,9.792,NaN,946,NaN,394.489,9.301,0.021,0.733,0.462,0.209,0.062,0.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.057,90.012,15,1013,0.001,340.389,0.01,3.581e5,79,50,0.01,0.008,3.319e-4
0.06,0.249,0.249,3.41,3.41,82.239,82.239,-7.461e-5,0,7.461e-5,269.978,6.368e-4,0,28.61,-80.6,30.94,0,0,0,90.012,0,4329,607,0.48,0.003,9.792,NaN,946,NaN,398.441,9.399,0.036,0.715,0.443,0.209,0.062,0.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90.012,15,1013,0.001,340.389,0.012,4.304e5,79,50,0.005,0.008,4.366e-4
0.065,0.308,0.308,3.822,3.822,82.717,82.717,-8.504e-5,0,8.504e-5,269.978,6.368e-4,0,28.61,-80.6,28.075,0,0,0,90.012,0,4328,606,0.48,0.003,9.792,NaN,946,NaN,400.417,9.448,0.046,0.706,0.435,0.209,0.062,0.815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.041,90.012,14.999,1013,0.001,340.389,0.013,4.69e5,79,50,0.01,0.009,4.894e-4
