PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 5686
Apogee: 2120' AGL
Ground Elevation: -145' MSL
NumSamps: 2424
Flight Number: 3
Main Setting: 700' AGL
Apogee Delay: 0 Seconds
Drogue At: 12.20 Seconds
Main At: 80.50 Seconds
Max Drogue Current: 8 Amps
Max Main Current: 6 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
0.00, -85, 0, 71.44, 8.30
0.05, -75, 200, 71.44, 8.30
0.10, -65, 216, 71.44, 8.30
0.15, -53, 212, 71.42, 8.30
0.20, -43, 212, 71.44, 8.20
0.25, -32, 209, 71.42, 8.20
0.30, -20, 203, 71.44, 8.30
0.35, -12, 196, 71.44, 8.30
0.40, -2, 187, 71.44, 8.30
0.45, 6, 180, 71.44, 8.30
0.50, 15, 173, 71.42, 8.20
0.55, 24, 167, 71.44, 8.30
0.60, 31, 163, 71.44, 8.30
0.65, 39, 160, 71.42, 8.20
0.70, 47, 159, 71.44, 8.20
0.75, 54, 160, 71.44, 8.30
0.80, 63, 162, 71.42, 8.30
0.85, 70, 165, 71.44, 8.30
0.90, 79, 169, 71.44, 8.20
0.95, 88, 170, 71.44, 8.30
1.00, 98, 170, 71.44, 8.30
1.05, 105, 169, 71.44, 8.20
1.10, 114, 169, 71.42, 8.20
1.15, 121, 169, 71.44, 8.20
1.20, 130, 173, 71.44, 8.30
1.25, 138, 178, 71.44, 8.30
1.30, 148, 184, 71.42, 8.30
1.35, 158, 191, 71.44, 8.30
1.40, 167, 197, 71.44, 8.30
1.45, 178, 203, 71.42, 8.20
1.50, 188, 208, 71.42, 8.20
1.55, 198, 213, 71.44, 8.30
1.60, 210, 218, 71.44, 8.30
1.65, 221, 223, 71.42, 8.20
1.70, 232, 228, 71.44, 8.30
1.75, 243, 233, 71.44, 8.20
1.80, 256, 237, 71.42, 8.30
1.85, 268, 241, 71.44, 8.20
1.90, 281, 244, 71.42, 8.30
1.95, 292, 247, 71.44, 8.30
2.00, 304, 250, 71.44, 8.20
2.05, 318, 253, 71.44, 8.30
2.10, 331, 259, 71.44, 8.30
2.15, 342, 265, 71.44, 8.20
2.20, 357, 271, 71.44, 8.30
2.25, 371, 278, 71.44, 8.20
2.30, 385, 284, 71.44, 8.20
2.35, 400, 289, 71.42, 8.30
2.40, 414, 296, 71.44, 8.20
2.45, 429, 302, 71.44, 8.20
2.50, 445, 310, 71.44, 8.20
2.55, 460, 320, 71.44, 8.20
2.60, 476, 332, 71.44, 8.30
2.65, 494, 345, 71.42, 8.20
2.70, 511, 358, 71.44, 8.20
2.75, 531, 369, 71.44, 8.30
2.80, 550, 378, 71.44, 8.30
2.85, 570, 383, 71.44, 8.30
2.90, 589, 384, 71.44, 8.30
2.95, 609, 382, 71.44, 8.20
3.00, 627, 379, 71.44, 8.30
3.05, 647, 374, 71.42, 8.20
3.10, 665, 370, 71.44, 8.20
3.15, 682, 368, 71.44, 8.30
3.20, 700, 369, 71.44, 8.30
3.25, 719, 372, 71.44, 8.30
3.30, 738, 375, 71.44, 8.20
3.35, 758, 379, 71.42, 8.30
3.40, 775, 381, 71.44, 8.30
3.45, 794, 377, 71.42, 8.20
3.50, 818, 367, 71.42, 8.20
3.55, 835, 351, 71.44, 8.20
3.60, 850, 329, 71.42, 8.20
3.65, 865, 305, 71.44, 8.20
3.70, 881, 282, 71.44, 8.30
3.75, 891, 265, 71.42, 8.30
3.80, 903, 255, 71.44, 8.20
3.85, 914, 253, 71.44, 8.30
3.90, 927, 259, 71.42, 8.20
3.95, 940, 270, 71.42, 8.20
4.00, 954, 282, 71.44, 8.30
4.05, 970, 294, 71.44, 8.30
4.10, 986, 302, 71.44, 8.30
4.15, 1001, 307, 71.44, 8.30
4.20, 1017, 307, 71.44, 8.30
4.25, 1033, 305, 71.44, 8.30
4.30, 1048, 300, 71.42, 8.30
4.35, 1062, 295, 71.44, 8.30
4.40, 1076, 289, 71.42, 8.20
4.45, 1092, 284, 71.42, 8.30
4.50, 1105, 278, 71.44, 8.20
4.55, 1118, 274, 71.44, 8.30
4.60, 1131, 269, 71.44, 8.30
4.65, 1146, 267, 71.42, 8.30
4.70, 1158, 265, 71.44, 8.30
4.75, 1170, 264, 71.44, 8.30
4.80, 1185, 263, 71.44, 8.30
4.85, 1198, 262, 71.44, 8.20
4.90, 1211, 260, 71.42, 8.20
4.95, 1223, 258, 71.44, 8.30
5.00, 1236, 256, 71.44, 8.30
5.05, 1249, 253, 71.44, 8.30
5.10, 1263, 250, 71.42, 8.30
5.15, 1275, 246, 71.44, 8.30
5.20, 1285, 242, 71.44, 8.30
5.25, 1297, 240, 71.42, 8.30
5.30, 1310, 238, 71.42, 8.20
5.35, 1322, 238, 71.42, 8.20
5.40, 1333, 237, 71.42, 8.30
5.45, 1346, 237, 71.42, 8.30
5.50, 1357, 237, 71.42, 8.30
5.55, 1368, 236, 71.44, 8.30
5.60, 1381, 234, 71.42, 8.30
5.65, 1393, 233, 71.42, 8.30
5.70, 1404, 230, 71.42, 8.20
5.75, 1416, 226, 71.42, 8.30
5.80, 1426, 224, 71.42, 8.30
5.85, 1437, 221, 71.44, 8.20
5.90, 1449, 218, 71.42, 8.30
5.95, 1459, 216, 71.42, 8.30
6.00, 1470, 213, 71.42, 8.20
6.05, 1481, 210, 71.42, 8.30
6.10, 1490, 208, 71.44, 8.30
6.15, 1501, 207, 71.44, 8.30
6.20, 1511, 205, 71.44, 8.30
6.25, 1522, 205, 71.42, 8.20
6.30, 1531, 203, 71.44, 8.30
6.35, 1542, 201, 71.42, 8.30
6.40, 1552, 198, 71.42, 8.20
6.45, 1562, 194, 71.44, 8.30
6.50, 1571, 190, 71.42, 8.20
6.55, 1580, 187, 71.44, 8.30
6.60, 1590, 184, 71.42, 8.20
6.65, 1598, 181, 71.42, 8.30
6.70, 1607, 178, 71.44, 8.20
6.75, 1617, 176, 71.42, 8.30
6.80, 1625, 174, 71.42, 8.30
6.85, 1633, 174, 71.44, 8.30
6.90, 1641, 175, 71.44, 8.30
6.95, 1650, 176, 71.42, 8.30
7.00, 1661, 176, 71.42, 8.20
7.05, 1669, 176, 71.42, 8.20
7.10, 1677, 176, 71.42, 8.30
7.15, 1685, 174, 71.42, 8.30
7.20, 1696, 173, 71.42, 8.30
7.25, 1702, 172, 71.42, 8.30
7.30, 1712, 169, 71.42, 8.30
7.35, 1722, 165, 71.42, 8.30
7.40, 1729, 161, 71.42, 8.20
7.45, 1735, 156, 71.42, 8.30
7.50, 1744, 153, 71.42, 8.30
7.55, 1751, 151, 71.42, 8.30
7.60, 1758, 150, 71.42, 8.30
7.65, 1766, 150, 71.42, 8.30
7.70, 1774, 150, 71.42, 8.30
7.75, 1781, 149, 71.42, 8.20
7.80, 1789, 147, 71.42, 8.30
7.85, 1795, 144, 71.42, 8.30
7.90, 1803, 140, 71.42, 8.30
7.95, 1811, 135, 71.42, 8.30
8.00, 1816, 132, 71.42, 8.30
8.05, 1822, 130, 71.42, 8.30
8.10, 1828, 130, 71.44, 8.20
8.15, 1835, 130, 71.42, 8.20
8.20, 1842, 130, 71.42, 8.30
8.25, 1849, 129, 71.42, 8.30
8.30, 1856, 127, 71.42, 8.20
8.35, 1861, 124, 71.42, 8.30
8.40, 1866, 121, 71.44, 8.30
8.45, 1873, 119, 71.44, 8.30
8.50, 1880, 117, 71.42, 8.30
8.55, 1884, 117, 71.42, 8.30
8.60, 1890, 115, 71.42, 8.30
8.65, 1897, 114, 71.42, 8.30
8.70, 1901, 114, 71.44, 8.30
8.75, 1907, 112, 71.42, 8.30
8.80, 1914, 111, 71.42, 8.30
8.85, 1918, 110, 71.42, 8.30
8.90, 1924, 108, 71.42, 8.20
8.95, 1930, 107, 71.42, 8.30
9.00, 1933, 107, 71.42, 8.30
9.05, 1940, 107, 71.42, 8.20
9.10, 1945, 107, 71.42, 8.30
9.15, 1952, 107, 71.42, 8.20
9.20, 1956, 106, 71.42, 8.30
9.25, 1960, 105, 71.42, 8.20
9.30, 1967, 104, 71.42, 8.30
9.35, 1972, 102, 71.42, 8.30
9.40, 1977, 100, 71.42, 8.30
9.45, 1981, 98, 71.44, 8.20
9.50, 1986, 96, 71.42, 8.30
9.55, 1992, 93, 71.42, 8.20
9.60, 1996, 91, 71.42, 8.30
9.65, 1999, 89, 71.42, 8.30
9.70, 2005, 86, 71.42, 8.30
9.75, 2009, 85, 71.42, 8.20
9.80, 2012, 83, 71.42, 8.20
9.85, 2017, 81, 71.42, 8.20
9.90, 2021, 81, 71.42, 8.30
9.95, 2024, 80, 71.42, 8.30
10.00, 2029, 78, 71.42, 8.20
10.05, 2033, 77, 71.42, 8.30
10.10, 2036, 74, 71.42, 8.20
10.15, 2040, 71, 71.42, 8.20
10.20, 2044, 68, 71.42, 8.30
10.25, 2046, 65, 71.42, 8.30
10.30, 2050, 63, 71.42, 8.30
10.35, 2053, 61, 71.42, 8.30
10.40, 2054, 61, 71.42, 8.30
10.45, 2059, 60, 71.42, 8.20
10.50, 2062, 59, 71.42, 8.30
10.55, 2065, 57, 71.42, 8.30
10.60, 2067, 54, 71.44, 8.30
10.65, 2070, 51, 71.42, 8.30
10.70, 2072, 49, 71.42, 8.20
10.75, 2075, 47, 71.42, 8.30
10.80, 2076, 47, 71.42, 8.20
